NM_MUNICIP,CD_GEOCMU,latitude,longitude,COD_TSE
CABRÁLIA PAULISTA,3508306,-22.489448763319807,-49.37296045293036,76279
CABREÚVA,3508405,-23.30108457253907,-47.0805639966245,76295
CAÇAPAVA,3508504,-23.10353469994452,-45.71325215966353,76317
CACHOEIRA PAULISTA,3508603,-22.702862617158715,-44.99140524251026,76333
CACONDE,3508702,-21.53973220882903,-46.61691638971284,76350
CAFELÂNDIA,3508801,-21.73124642293577,-49.548748047948685,76376
CAIABU,3508900,-21.94986448169838,-51.22381479145998,76392
CAIEIRAS,3509007,-23.376046559205623,-46.74507789011698,76414
CAIUÁ,3509106,-21.80180746352793,-51.98666344641422,76430
CAJAMAR,3509205,-23.351624346921273,-46.872113543197926,76457
CAJATI,3509254,-24.77217648282671,-48.19514330267069,76473
CAJOBI,3509304,-20.873665539979037,-48.838988831685505,79979
CAJURU,3509403,-21.276179392051088,-47.31063165271664,76490
CAMPINA DO MONTE ALEGRE,3509452,-23.606739735158683,-48.44222282970071,76511
CAMPINAS,3509502,-22.88392635429434,-47.04396252050316,84638
CAMPO LIMPO PAULISTA,3509601,-23.217899884200463,-46.7600794448707,76538
CAMPOS DO JORDÃO,3509700,-22.701969428057772,-45.533196243564966,76554
CAMPOS NOVOS PAULISTA,3509809,-22.610919357960682,-50.01013509712725,76570
CANANÉIA,3509908,-25.01780307102314,-48.00845960380197,74985
CANAS,3509957,-22.730205495843247,-45.04071287973358,76597
CÂNDIDO MOTA,3510005,-22.80863761725205,-50.421885131155186,76619
CÂNDIDO RODRIGUES,3510104,-21.343190192370187,-48.62855091276222,74489
CANITAR,3510153,-23.018464236105032,-49.79177337180194,74047
CAPÃO BONITO,3510203,-24.0390166292565,-48.289537758510704,76635
CAPELA DO ALTO,3510302,-23.467533465964284,-47.73063995699717,76651
CAPIVARI,3510401,-22.980856217405968,-47.478377859913905,76678
CARAGUATATUBA,3510500,-23.639743372739183,-45.48837568085003,75809
CARAPICUÍBA,3510609,-23.5497441687494,-46.84184231835082,84590
CARDOSO,3510708,-20.0672269977883,-49.94793540159618,76694
